Country,Population,CIA,WorldBank,UN2010,UN2015,UN2020,growth_rate,pop_2050
São Tomé and Príncipe,228319,1.45,1.9,2.32,2.25,2.18,2.25,694556
Samoa,205557,0.65,1.5,0.69,0.8,0.65,0.71,293278
Saint Lucia,184100,0.27,0.2,1.06,0.53,0.45,0.68,258353
Seychelles,121355,0.6,-0.1,0.59,0.5,0.5,0.53,158067
Kiribati,120740,1.02,1.7,2.12,1.82,1.71,1.88,306908
Grenada,112579,0.29,0.6,0.33,0.41,0.46,0.4,137449
Saint Vincent and the Grenadines,110872,-0.16,-0.2,0.1,0.03,0.24,0.12,117919
Micronesia,105754,-0.7,0.9,-0.49,0.16,0.63,0.1,111173
Antigua and Barbuda,103603,1.11,0.6,1.18,1.08,1.01,1.09,178148
Tonga,100179,-0.3,0.9,0.6,0.42,0.86,0.63,136908
Andorra,86801,-0.12,0.3,1.37,-1.59,-0.21,-0.14,80793
Dominica,67408,0.02,0.4,0.23,0.48,0.51,0.41,82573
Saint Kitts and Nevis,51320,0.59,0.2,1.13,1.08,0.91,1.04,86090
